# Company, Experience, Salary
      A  ,    0.0    ,  30890
      A  ,    2.1    ,  38020
      A  ,    2.2    ,  40690
      A  ,    2.7    ,  39040
      A  ,    2.7    ,  40080
      A  ,    3.0    ,  38790
      A  ,    3.2    ,  36090
      A  ,    3.6    ,  43910
      A  ,    4.5    ,  47480
      A  ,    4.8    ,  45320
      A  ,    5.0    ,  52040
      A  ,    5.1    ,  44940
      A  ,    5.4    ,  48990
      A  ,    5.4    ,  48530
      A  ,    6.9    ,  57220
      A  ,    7.6    ,  59540
      A  ,    7.8    ,  57610
      A  ,    9.0    ,  62260
      A  ,    9.2    ,  60420
      A  ,    9.6    ,  59640
      A  ,   10.0    ,  64300
      B  ,    0.0    ,  40310
      B  ,    0.6    ,  40130
      B  ,    1.1    ,  44290
      B  ,    1.6    ,  44100
      B  ,    1.8    ,  43400
      B  ,    2.2    ,  46980
      B  ,    2.9    ,  50140
      B  ,    3.3    ,  50690
      B  ,    3.4    ,  51480
      B  ,    4.9    ,  54410
      B  ,    5.0    ,  55270
      B  ,    5.5    ,  56260
      B  ,    5.6    ,  57200
      B  ,    5.8    ,  56930
      B  ,    5.8    ,  55110
      B  ,    6.0    ,  59550
      B  ,    6.2    ,  59040
      B  ,    6.3    ,  56900
      B  ,    7.3    ,  64290
      B  ,    8.3    ,  64750
      B  ,   10.0    ,  72100
      C  ,    0.0    ,  27980
      C  ,    0.7    ,  31590
      C  ,    0.9    ,  30960
      C  ,    1.4    ,  30240
      C  ,    1.6    ,  29260
      C  ,    2.9    ,  38710
      C  ,    2.9    ,  35790
      C  ,    3.3    ,  40640
      C  ,    3.6    ,  39820
      C  ,    4.6    ,  45350
      C  ,    5.0    ,  45710
      C  ,    5.0    ,  46410
      C  ,    5.1    ,  45420
      C  ,    6.2    ,  53370
      C  ,    6.4    ,  50850
      C  ,    7.9    ,  57400
      C  ,    8.4    ,  62370
      C  ,    8.7    ,  57100
      C  ,    9.1    ,  58860
      C  ,    9.8    ,  66140
      C  ,   10.0    ,  62650
