# Company, Experience, Salary
      A  ,    0.0    ,  30000
      A  ,    2.1    ,  37350
      A  ,    2.2    ,  37700
      A  ,    2.7    ,  39450
      A  ,    2.7    ,  39450
      A  ,    3.0    ,  40500
      A  ,    3.2    ,  41200
      A  ,    3.6    ,  42600
      A  ,    4.5    ,  45750
      A  ,    4.8    ,  46800
      A  ,    5.0    ,  47500
      A  ,    5.1    ,  47850
      A  ,    5.4    ,  48900
      A  ,    5.4    ,  48900
      A  ,    6.9    ,  54150
      A  ,    7.6    ,  56600
      A  ,    7.8    ,  57300
      A  ,    9.0    ,  61500
      A  ,    9.2    ,  62200
      A  ,    9.6    ,  63600
      A  ,   10.0    ,  65000
      B  ,    0.0    ,  40000
      B  ,    0.6    ,  41920
      B  ,    1.1    ,  43520
      B  ,    1.6    ,  45120
      B  ,    1.8    ,  45760
      B  ,    2.2    ,  47040
      B  ,    2.9    ,  49280
      B  ,    3.3    ,  50560
      B  ,    3.4    ,  50880
      B  ,    4.9    ,  55680
      B  ,    5.0    ,  56000
      B  ,    5.5    ,  57600
      B  ,    5.6    ,  57920
      B  ,    5.8    ,  58560
      B  ,    5.8    ,  58560
      B  ,    6.0    ,  59200
      B  ,    6.2    ,  59840
      B  ,    6.3    ,  60160
      B  ,    7.3    ,  63360
      B  ,    8.3    ,  66560
      B  ,   10.0    ,  72000
      C  ,    0.0    ,  25000
      C  ,    0.7    ,  27800
      C  ,    0.9    ,  28600
      C  ,    1.4    ,  30600
      C  ,    1.6    ,  31400
      C  ,    2.9    ,  36600
      C  ,    2.9    ,  36600
      C  ,    3.3    ,  38200
      C  ,    3.6    ,  39400
      C  ,    4.6    ,  43400
      C  ,    5.0    ,  45000
      C  ,    5.0    ,  45000
      C  ,    5.1    ,  45400
      C  ,    6.2    ,  49800
      C  ,    6.4    ,  50600
      C  ,    7.9    ,  56600
      C  ,    8.4    ,  58600
      C  ,    8.7    ,  59800
      C  ,    9.1    ,  61400
      C  ,    9.8    ,  64200
      C  ,   10.0    ,  65000
